Bouncy Height: 0m, Bouncy Time: 0s
Bouncy Height: 0.5m, Bouncy Time: 0.319275s
Bouncy Height: 1m, Bouncy Time: 0.451524s
Bouncy Height: 1.5m, Bouncy Time: 0.553001s
Bouncy Height: 2m, Bouncy Time: 0.638551s
Bouncy Height: 2.5m, Bouncy Time: 0.713922s
Bouncy Height: 3m, Bouncy Time: 0.782062s
Bouncy Height: 3.5m, Bouncy Time: 0.844723s
Bouncy Height: 4m, Bouncy Time: 0.903047s
Bouncy Height: 4.5m, Bouncy Time: 0.957826s
Bouncy Height: 5m, Bouncy Time: 1.00964s
Bouncy Height: 5.5m, Bouncy Time: 1.05892s
Bouncy Height: 6m, Bouncy Time: 1.106s
Bouncy Height: 6.5m, Bouncy Time: 1.15116s
Bouncy Height: 7m, Bouncy Time: 1.19462s
Bouncy Height: 7.5m, Bouncy Time: 1.23655s
Bouncy Height: 8m, Bouncy Time: 1.2771s
Bouncy Height: 8.5m, Bouncy Time: 1.31641s
Bouncy Height: 9m, Bouncy Time: 1.35457s
Bouncy Height: 9.5m, Bouncy Time: 1.39169s
Bouncy Height: 10m, Bouncy Time: 1.42784s
Bouncy Height: 10.5m, Bouncy Time: 1.4631s
Bouncy Height: 11m, Bouncy Time: 1.49753s
Bouncy Height: 11.5m, Bouncy Time: 1.53119s
Bouncy Height: 12m, Bouncy Time: 1.56412s
Bouncy Height: 12.5m, Bouncy Time: 1.59638s
Bouncy Height: 13m, Bouncy Time: 1.62799s
Bouncy Height: 13.5m, Bouncy Time: 1.659s
Bouncy Height: 14m, Bouncy Time: 1.68945s
Bouncy Height: 14.5m, Bouncy Time: 1.71935s
Bouncy Height: 15m, Bouncy Time: 1.74874s
Bouncy Height: 15.5m, Bouncy Time: 1.77765s
Bouncy Height: 16m, Bouncy Time: 1.80609s
Bouncy Height: 16.5m, Bouncy Time: 1.8341s
Bouncy Height: 17m, Bouncy Time: 1.86168s
Bouncy Height: 17.5m, Bouncy Time: 1.88886s
Bouncy Height: 18m, Bouncy Time: 1.91565s
Bouncy Height: 18.5m, Bouncy Time: 1.94208s
Bouncy Height: 19m, Bouncy Time: 1.96815s
Bouncy Height: 19.5m, Bouncy Time: 1.99387s
Bouncy Height: 20m, Bouncy Time: 2.01928s
Bouncy Height: 20.5m, Bouncy Time: 2.04436s
Bouncy Height: 21m, Bouncy Time: 2.06914s
Bouncy Height: 21.5m, Bouncy Time: 2.09363s
Bouncy Height: 22m, Bouncy Time: 2.11783s
Bouncy Height: 22.5m, Bouncy Time: 2.14176s
Bouncy Height: 23m, Bouncy Time: 2.16543s
Bouncy Height: 23.5m, Bouncy Time: 2.18884s
Bouncy Height: 24m, Bouncy Time: 2.21201s
Bouncy Height: 24.5m, Bouncy Time: 2.23493s
Bouncy Height: 25m, Bouncy Time: 2.25762s
Bouncy Height: 25.5m, Bouncy Time: 2.28008s
Bouncy Height: 26m, Bouncy Time: 2.30233s
Bouncy Height: 26.5m, Bouncy Time: 2.32436s
Bouncy Height: 27m, Bouncy Time: 2.34619s
Bouncy Height: 27.5m, Bouncy Time: 2.36781s
Bouncy Height: 28m, Bouncy Time: 2.38924s
Bouncy Height: 28.5m, Bouncy Time: 2.41048s
Bouncy Height: 29m, Bouncy Time: 2.43153s
Bouncy Height: 29.5m, Bouncy Time: 2.4524s
Bouncy Height: 30m, Bouncy Time: 2.4731s
Bouncy Height: 30.5m, Bouncy Time: 2.49362s
Bouncy Height: 31m, Bouncy Time: 2.51398s
Bouncy Height: 31.5m, Bouncy Time: 2.53417s
Bouncy Height: 32m, Bouncy Time: 2.5542s
Bouncy Height: 32.5m, Bouncy Time: 2.57408s
Bouncy Height: 33m, Bouncy Time: 2.59381s
Bouncy Height: 33.5m, Bouncy Time: 2.61338s
Bouncy Height: 34m, Bouncy Time: 2.63281s
Bouncy Height: 34.5m, Bouncy Time: 2.6521s
Bouncy Height: 35m, Bouncy Time: 2.67125s
Bouncy Height: 35.5m, Bouncy Time: 2.69026s
Bouncy Height: 36m, Bouncy Time: 2.70914s
Bouncy Height: 36.5m, Bouncy Time: 2.72789s
Bouncy Height: 37m, Bouncy Time: 2.74651s
Bouncy Height: 37.5m, Bouncy Time: 2.76501s
Bouncy Height: 38m, Bouncy Time: 2.78338s
Bouncy Height: 38.5m, Bouncy Time: 2.80163s
Bouncy Height: 39m, Bouncy Time: 2.81976s
Bouncy Height: 39.5m, Bouncy Time: 2.83778s
Bouncy Height: 40m, Bouncy Time: 2.85569s
Bouncy Height: 40.5m, Bouncy Time: 2.87348s
Bouncy Height: 41m, Bouncy Time: 2.89116s
Bouncy Height: 41.5m, Bouncy Time: 2.90874s
Bouncy Height: 42m, Bouncy Time: 2.92621s
Bouncy Height: 42.5m, Bouncy Time: 2.94357s
Bouncy Height: 43m, Bouncy Time: 2.96084s
Bouncy Height: 43.5m, Bouncy Time: 2.978s
Bouncy Height: 44m, Bouncy Time: 2.99507s
Bouncy Height: 44.5m, Bouncy Time: 3.01204s
Bouncy Height: 45m, Bouncy Time: 3.02891s
Bouncy Height: 45.5m, Bouncy Time: 3.04569s
Bouncy Height: 46m, Bouncy Time: 3.06238s
Bouncy Height: 46.5m, Bouncy Time: 3.07898s
Bouncy Height: 47m, Bouncy Time: 3.09549s
Bouncy Height: 47.5m, Bouncy Time: 3.11191s
Bouncy Height: 48m, Bouncy Time: 3.12825s
Bouncy Height: 48.5m, Bouncy Time: 3.1445s
Bouncy Height: 49m, Bouncy Time: 3.16067s
Bouncy Height: 49.5m, Bouncy Time: 3.17675s
